,tis_mM,kprime,resin,iex_type,protein,data_set,pH
225,1010.0,0.11453019953363948,SP Spherodex M,cex,lysozyme,DePhillips,7.0
226,160.0,70.7966190519282,SP-650 M,cex,lysozyme,DePhillips,7.0
227,210.0,9.047581796207222,SP-650 M,cex,lysozyme,DePhillips,7.0
228,260.0,3.5128735579009165,SP-650 M,cex,lysozyme,DePhillips,7.0
229,310.0,1.2464145730278327,SP-650 M,cex,lysozyme,DePhillips,7.0
230,360.0,0.5539652444297742,SP-650 M,cex,lysozyme,DePhillips,7.0
231,410.0,0.2948305741011036,SP-650 M,cex,lysozyme,DePhillips,7.0
232,508.96000000000004,0.10000288244320314,SP-650 M,cex,lysozyme,DePhillips,7.0
233,610.0,0.04649460025136857,SP-650 M,cex,lysozyme,DePhillips,7.0
234,710.0,0.01725688949567476,SP-650 M,cex,lysozyme,DePhillips,7.0
235,210.0,86.06166911826278,EMD sulfonate M,cex,lysozyme,DePhillips,7.0
236,260.0,21.945211194509003,EMD sulfonate M,cex,lysozyme,DePhillips,7.0
237,310.0,9.753483749710401,EMD sulfonate M,cex,lysozyme,DePhillips,7.0
238,360.0,4.144000171670969,EMD sulfonate M,cex,lysozyme,DePhillips,7.0
239,410.0,1.9854537035982944,EMD sulfonate M,cex,lysozyme,DePhillips,7.0
240,508.96000000000004,0.7259383913422728,EMD sulfonate M,cex,lysozyme,DePhillips,7.0
241,610.0,0.3178408875063407,EMD sulfonate M,cex,lysozyme,DePhillips,7.0
242,710.0,0.15227891183010644,EMD sulfonate M,cex,lysozyme,DePhillips,7.0
243,810.0,0.07187035081161743,EMD sulfonate M,cex,lysozyme,DePhillips,7.0
244,910.0,0.04719975721525307,EMD sulfonate M,cex,lysozyme,DePhillips,7.0
245,160.0,26.662205228566275,CM Sepharose FF,cex,lysozyme,DePhillips,7.0
246,210.0,4.398312340863698,CM Sepharose FF,cex,lysozyme,DePhillips,7.0
247,260.0,1.5605801085697097,CM Sepharose FF,cex,lysozyme,DePhillips,7.0
248,310.0,0.6531697557208136,CM Sepharose FF,cex,lysozyme,DePhillips,7.0
249,360.0,0.32736034295871586,CM Sepharose FF,cex,lysozyme,DePhillips,7.0
250,410.0,0.20552093498669968,CM Sepharose FF,cex,lysozyme,DePhillips,7.0
251,508.96000000000004,0.0873204704823699,CM Sepharose FF,cex,lysozyme,DePhillips,7.0
252,610.0,0.04717545168256405,CM Sepharose FF,cex,lysozyme,DePhillips,7.0
253,160.0,43.15748236244522,CM Spherodex M,cex,lysozyme,DePhillips,7.0
254,210.0,9.329021666528517,CM Spherodex M,cex,lysozyme,DePhillips,7.0
255,260.0,3.4110344193737783,CM Spherodex M,cex,lysozyme,DePhillips,7.0
256,310.0,1.609889625586535,CM Spherodex M,cex,lysozyme,DePhillips,7.0
257,360.0,0.7829897949068634,CM Spherodex M,cex,lysozyme,DePhillips,7.0
258,410.0,0.5975250291169522,CM Spherodex M,cex,lysozyme,DePhillips,7.0
259,460.0,0.4989948940258728,CM Spherodex M,cex,lysozyme,DePhillips,7.0
260,508.96000000000004,0.3132752618930382,CM Spherodex M,cex,lysozyme,DePhillips,7.0
261,610.0,0.095654653250081,CM Spherodex M,cex,lysozyme,DePhillips,7.0
262,160.0,51.6627953311869,CM-650 M,cex,lysozyme,DePhillips,7.0
263,210.0,7.557843607802427,CM-650 M,cex,lysozyme,DePhillips,7.0
264,260.0,2.6416659658103123,CM-650 M,cex,lysozyme,DePhillips,7.0
265,310.0,1.0411849956835075,CM-650 M,cex,lysozyme,DePhillips,7.0
266,360.0,0.4988476158718972,CM-650 M,cex,lysozyme,DePhillips,7.0
267,410.0,0.3039120366423749,CM-650 M,cex,lysozyme,DePhillips,7.0
268,508.96000000000004,0.1500472018628591,CM-650 M,cex,lysozyme,DePhillips,7.0
269,610.0,0.09707287693716858,CM-650 M,cex,lysozyme,DePhillips,7.0
270,710.0,0.05913953438696094,CM-650 M,cex,lysozyme,DePhillips,7.0
271,810.0,0.034963741522022716,CM-650 M,cex,lysozyme,DePhillips,7.0
272,160.0,36.33423863847885,EMD carboxylic M,cex,lysozyme,DePhillips,7.0
273,210.0,6.658341474081711,EMD carboxylic M,cex,lysozyme,DePhillips,7.0
274,260.0,2.095009826097187,EMD carboxylic M,cex,lysozyme,DePhillips,7.0
275,310.0,0.7775996639857145,EMD carboxylic M,cex,lysozyme,DePhillips,7.0
276,360.0,0.39561801927375934,EMD carboxylic M,cex,lysozyme,DePhillips,7.0
277,410.0,0.25213089430222435,EMD carboxylic M,cex,lysozyme,DePhillips,7.0
278,508.96000000000004,0.14249383147771968,EMD carboxylic M,cex,lysozyme,DePhillips,7.0
279,610.0,0.07141608920726908,EMD carboxylic M,cex,lysozyme,DePhillips,7.0
280,710.0,0.03525949308203522,EMD carboxylic M,cex,lysozyme,DePhillips,7.0
281,310.0,294.4970663702098,SP-550 C,cex,lysozyme,DePhillips,7.0
282,360.0,45.067241144104926,SP-550 C,cex,lysozyme,DePhillips,7.0
283,385.0,22.250561392897456,SP-550 C,cex,lysozyme,DePhillips,7.0
284,410.0,9.453681638079344,SP-550 C,cex,lysozyme,DePhillips,7.0
285,460.0,5.423766357490132,SP-550 C,cex,lysozyme,DePhillips,7.0
286,508.96000000000004,2.843550679533295,SP-550 C,cex,lysozyme,DePhillips,7.0
287,560.0,1.9535339940720098,SP-550 C,cex,lysozyme,DePhillips,7.0
288,610.0,1.3623885121057613,SP-550 C,cex,lysozyme,DePhillips,7.0
289,710.0,0.6931400174196928,SP-550 C,cex,lysozyme,DePhillips,7.0
290,810.0,0.4552091393590008,SP-550 C,cex,lysozyme,DePhillips,7.0
291,910.0,0.3034736393666128,SP-550 C,cex,lysozyme,DePhillips,7.0
292,1010.0,0.24965540501409741,SP-550 C,cex,lysozyme,DePhillips,7.0
