paper,plot_letter,protein,iex_type,resin,x,tis_M,kprime
1,c,lipolase,aex,Source 30Q,8.0034,0.12494689756853339,5.418
1,c,lipolase,aex,Source 30Q,7.342,0.13620266957232363,3.2624
1,c,lipolase,aex,Source 30Q,6.6952,0.14936073604970726,1.7395
1,c,lipolase,aex,Source 30Q,6.3957,0.15635505104992417,1.4788
1,c,lipolase,aex,Source 30Q,5.7027,0.17535553334385467,0.8725
1,c,lipolase,aex,TSK-Gel Q-5PW-HR,8.6088,0.11616020815909302,3.6875
1,c,lipolase,aex,TSK-Gel Q-5PW-HR,7.3263,0.13649454704284564,1.2584
1,c,lipolase,aex,TSK-Gel Q-5PW-HR,6.419,0.15578750584203147,0.594
1,c,lipolase,aex,TSK-Gel Q-5PW-HR,5.7232,0.17472742521666199,0.34343
1,c,lipolase,aex,TSK-Gel Q-5PW-HR,4.987,0.20052135552436334,0.1758
1,d,myoglobin,aex,Express-Ion Q,18.227,0.05486366379546826,0.7856
1,d,myoglobin,aex,Express-Ion Q,12.4957,0.08002752947013773,0.27072
1,d,myoglobin,aex,Express-Ion Q,9.5496,0.10471642791321102,0.12428
1,d,myoglobin,aex,Express-Ion Q,7.7667,0.12875481221110638,0.05046
1,d,myoglobin,aex,Fractogel EMD TMAE 650s,33.423,0.02991951650061335,4.3024
1,d,myoglobin,aex,Fractogel EMD TMAE 650s,28.628,0.03493083694285315,2.3269
1,d,myoglobin,aex,Fractogel EMD TMAE 650s,25.089,0.039858105145681375,1.3383
1,d,myoglobin,aex,Fractogel EMD TMAE 650s,22.245,0.04495392222971454,0.8884
1,d,myoglobin,aex,Fractogel EMD TMAE 650s,20.07,0.04982561036372696,0.6806
1,d,myoglobin,aex,Fractogel EMD TMAE 650s,18.209,0.0549178977428744,0.5006
1,d,myoglobin,aex,Macro-Prep 25Q,33.277,0.030050785828049403,7.794
1,d,myoglobin,aex,Macro-Prep 25Q,28.649,0.034905232294320916,3.2295
1,d,myoglobin,aex,Macro-Prep 25Q,25.097,0.03984539984858748,1.5446
1,d,myoglobin,aex,Macro-Prep 25Q,22.239,0.04496605063177301,0.7856
1,d,myoglobin,aex,Macro-Prep 25Q,20.173,0.049571209041788536,0.5323
1,d,myoglobin,aex,Macro-Prep 25Q,18.195,0.05496015388843089,0.35334
1,d,myoglobin,aex,Macro-Prep 25Q,16.6769,0.05996318260587999,0.1557
1,d,myoglobin,aex,Poros QE/M,33.311,0.03002011347602894,0.9642
1,d,myoglobin,aex,Poros QE/M,28.732,0.034804399276068494,0.9255
1,d,myoglobin,aex,Poros QE/M,24.915,0.04013646397752358,0.7697
1,d,myoglobin,aex,Q HyperD 20,24.857,0.04023011626503601,3.4342
1,d,myoglobin,aex,Q HyperD 20,20.08,0.04980079681274901,0.8527
1,d,myoglobin,aex,Q HyperD 20,16.789,0.05956280898207159,0.24436
1,d,myoglobin,aex,Q Sepharose FF,33.297,0.030032735681893265,10.172
1,d,myoglobin,aex,Q Sepharose FF,28.658,0.03489427036080675,3.7275
1,d,myoglobin,aex,Q Sepharose FF,24.822,0.04028684231729917,1.8197
1,d,myoglobin,aex,Q Sepharose FF,22.381,0.04468075599839149,1.0682
