data_set,iex_type,resin,protein,pH,tis_mM,kprime
DePhillips,cex,Fractogel EMD COO- (M),cytochrome c,7,410,0.184674131069856
DePhillips,cex,Fractogel EMD COO- (M),cytochrome c,7,460,0.151881914984882
DePhillips,cex,Fractogel EMD COO- (M),cytochrome c,7,510,0.08706549314789
DePhillips,cex,SP-550 C,cytochrome c,7,135,87.0083580176251
DePhillips,cex,SP-550 C,cytochrome c,7,160,22.818178487169
DePhillips,cex,SP-550 C,cytochrome c,7,185,10.9207124737999
DePhillips,cex,SP-550 C,cytochrome c,7,210,5.80685488367986
DePhillips,cex,SP-550 C,cytochrome c,7,235,3.32882506520631
DePhillips,cex,SP-550 C,cytochrome c,7,260,2.05726848348933
DePhillips,cex,SP-550 C,cytochrome c,7,310,1.04566115042726
DePhillips,cex,SP-550 C,cytochrome c,7,410,0.399384285645705
DePhillips,cex,SP-550 C,cytochrome c,7,460,0.286880462862736
DePhillips,cex,SP-550 C,cytochrome c,7,510,0.215581243630532
DePhillips,cex,Cellufine sulfate,cytochrome c,7,145,143.370566080324
DePhillips,cex,Cellufine sulfate,cytochrome c,7,160,32.6738266063143
DePhillips,cex,Cellufine sulfate,cytochrome c,7,185,14.143926798637
DePhillips,cex,Cellufine sulfate,cytochrome c,7,210,7.10984282454192
DePhillips,cex,Cellufine sulfate,cytochrome c,7,260,2.38660199872553
DePhillips,cex,Cellufine sulfate,cytochrome c,7,310,1.31162594871142
DePhillips,cex,Cellufine sulfate,cytochrome c,7,360,1.04722499659586
DePhillips,cex,Cellufine sulfate,cytochrome c,7,410,0.467143166231287
DePhillips,cex,Cellufine sulfate,cytochrome c,7,460,0.214723708862171
DePhillips,cex,Cellufine sulfate,cytochrome c,7,510,0.118080993901047
DePhillips,cex,SP Sepharose FF,lysozyme,7,160,83.5788688749046
DePhillips,cex,SP Sepharose FF,lysozyme,7,210,19.475404617782
DePhillips,cex,SP Sepharose FF,lysozyme,7,260,4.33826911749807
DePhillips,cex,SP Sepharose FF,lysozyme,7,310,2.04751215806986
DePhillips,cex,SP Sepharose FF,lysozyme,7,360,0.966354535391679
DePhillips,cex,SP Sepharose FF,lysozyme,7,410,0.653998104002569
DePhillips,cex,SP Sepharose FF,lysozyme,7,508.96,0.404460849113334
DePhillips,cex,SP Sepharose FF,lysozyme,7,610,0.304065039605457
DePhillips,cex,SP Sepharose FF,lysozyme,7,710,0.246408956332876
DePhillips,cex,SP Sepharose FF,lysozyme,7,810,0.152393516042626
DePhillips,cex,SP Sepharose FF,lysozyme,7,910,0.095672360485825
DePhillips,cex,SP Sepharose FF,lysozyme,7,1010,0.077532982277697
DePhillips,cex,SP Spherodex M,lysozyme,7,310,51.6737544740009
DePhillips,cex,SP Spherodex M,lysozyme,7,360,18.3345399593439
DePhillips,cex,SP Spherodex M,lysozyme,7,410,6.60374078001848
DePhillips,cex,SP Spherodex M,lysozyme,7,460,3.35977363184182
DePhillips,cex,SP Spherodex M,lysozyme,7,508.96,1.95672600724946
DePhillips,cex,SP Spherodex M,lysozyme,7,610,0.843936979876714
DePhillips,cex,SP Spherodex M,lysozyme,7,710,0.416667874619602
DePhillips,cex,SP Spherodex M,lysozyme,7,810,0.250063334103146
DePhillips,cex,SP Spherodex M,lysozyme,7,1010,0.114530199533639
DePhillips,cex,SP Toyopearl 650m,lysozyme,7,160,70.7966190519282
DePhillips,cex,SP Toyopearl 650m,lysozyme,7,210,9.04758179620722
DePhillips,cex,SP Toyopearl 650m,lysozyme,7,260,3.51287355790092
DePhillips,cex,SP Toyopearl 650m,lysozyme,7,310,1.24641457302783
DePhillips,cex,SP Toyopearl 650m,lysozyme,7,360,0.553965244429774
DePhillips,cex,SP Toyopearl 650m,lysozyme,7,410,0.294830574101104
DePhillips,cex,SP Toyopearl 650m,lysozyme,7,508.96,0.100002882443203
DePhillips,cex,SP Toyopearl 650m,lysozyme,7,610,0.046494600251369
